geneNames	GSM610737	GSM610738	GSM435828	GSM435833	GSM610718	GSM610690	GSM435823	GSM435824	GSM435825	GSM435826	GSM435827	GSM610691	GSM435821	GSM435822	GSM610695	GSM610696	GSM610717
ABHD1	5.021266738	3.417956979	8.106889686	5.203478018	7.842701378	8.205374747	6.981330702	8.200723822	8.235453063	11.7595112	7.331583965	12.0524568	10.29994435	10.41124817	7.745487734	6.537428915	9.224249776
ABHD10	3.085875218	3.155970379	2.37816329	4.242278616	2.774319645	5.233936282	0.638806557	5.82501451	6.936090295	6.078621393	4.04805548	5.890764598	5.375064825	6.591097603	7.072744169	4.372020059	3.664683104
ABHD11	2.554889445	2.551499069	0.801099511	2.850128435	0.637227552	2.226663832	1.305199796	3.430309259	3.15687762	3.368828389	2.340918279	3.329320079	5.867472004	4.521710097	7.049639875	4.919962378	2.585639308
ABHD12	2.246859777	2.359255457	1.000144025	1.140650103	0.948764144	3.470577188	2.708983442	2.31914965	2.857416699	4.079998434	2.075656264	2.582054533	4.531520859	4.176260962	4.054222441	3.773509835	3.374107211
ABHD14A	19.89977969	11.53434572	11.48169402	18.23774155	8.736377818	16.95251396	4.967671325	17.68049873	19.44607149	20.34999927	14.542049	32.63055592	21.64465446	22.38071893	24.49294036	20.67122592	23.77627198
ABHD14B	60.53077604	41.4075722	38.42820931	55.93934541	42.20194498	65.18052307	35.22456468	69.48832533	72.8089949	79.8655504	59.14604713	101.457681	71.59413203	69.11417518	75.84608918	67.29802509	70.87152013
ABHD15	2.300356238	1.334554219	2.266803901	2.215899581	1.328184667	2.58731036	0.888472333	2.244421527	2.726063606	3.406568419	3.291850725	0.784175799	1.713252826	1.847720424	1.66461161	2.001299557	1.824775989
ABHD16A	12.99768517	15.16100864	6.767654704	15.6787291	4.349725355	8.58334402	2.885216196	10.41697838	15.99720375	9.510345637	8.527466275	11.90391853	16.09703061	16.62394295	20.44378487	25.7506509	6.085750393
ABHD16B	1.798810916	1.607013893	3.828528974	3.637487084	1.524536697	1.446858988	2.6887833	1.308132327	1.437430873	1.113536739	1.676934201	0.63780938	0.867687542	1.176593401	1.070966451	0.814163148	1.59424071
ABHD17A	36.72483465	26.98897386	30.84804688	31.06725825	25.96430569	44.02873569	7.91298808	37.50254552	48.89426276	62.29742283	42.73174998	70.12718442	53.67885441	45.09772284	56.60677487	46.79125035	60.7147392
ABHD17B	0.759770116	0.340341595	0.337841797	0.524246553	-0.170315549	0.149651353	0.840481062	0.130777544	0.135844164	0.445316416	0.654844323	0.607017904	0.398734613	0.287017278	0.305634539	0.400691118	0.117041054
ABHD17C	2.247871163	1.752041064	1.098757517	2.045329586	1.041572786	1.57903681	0.310892286	1.459393274	1.233244542	1.439423795	1.471676328	1.657204158	0.840492408	1.62756705	1.055528001	1.276587263	0.637090023
ABHD18	3.412238726	2.42947927	2.232801962	2.986191359	2.948279829	5.440220394	2.330371244	5.023525161	4.771624836	3.896428901	4.091000319	8.345474638	4.602689247	6.794200344	6.429925563	6.95085469	4.250552432
